,Number of Referrals,Tenure in Months,Offer,Internet Service,Contract,Payment Method,Total Charges,Total Revenue,Customer Status
36,2,55,Offer B,Yes,Month-to-Month,Bank Withdrawal,4959.6,5239.0,0
37,4,59,Offer B,Yes,Month-to-Month,Bank Withdrawal,5597.65,6564.66,0
38,3,12,None,No,Two Year,Bank Withdrawal,224.5,455.86,0
39,7,27,Offer C,Yes,Month-to-Month,Bank Withdrawal,1929.0,2611.02,0
40,0,2,None,Yes,Month-to-Month,Bank Withdrawal,91.1,179.08,1
41,0,27,Offer C,Yes,One Year,Credit Card,2078.95,3399.52,0
42,1,25,None,No,Two Year,Credit Card,630.6,1178.43,0
43,5,25,None,Yes,One Year,Bank Withdrawal,1611.0,1727.35,0
44,0,29,None,Yes,Month-to-Month,Credit Card,1242.45,1230.19,0
45,5,72,None,Yes,Two Year,Bank Withdrawal,6316.2,8646.12,0
46,0,14,None,Yes,One Year,Credit Card,727.85,1064.41,0
47,0,35,Offer C,Yes,One Year,Bank Withdrawal,3532.0,4806.7,0
48,0,1,Offer E,Yes,Month-to-Month,Credit Card,44.3,87.25,0
49,0,29,None,Yes,Month-to-Month,Bank Withdrawal,2607.6,2687.05,0
50,0,64,None,Yes,One Year,Bank Withdrawal,5567.55,5958.91,0
51,1,39,None,Yes,Month-to-Month,Credit Card,3767.4,4718.22,0
52,0,40,None,Yes,Two Year,Bank Withdrawal,3673.6,5439.2,0
53,0,40,None,Yes,Month-to-Month,Credit Card,4036.85,5544.45,1
54,0,11,Offer D,Yes,Month-to-Month,Bank Withdrawal,1120.3,1367.79,1
55,10,6,Offer E,Yes,Month-to-Month,Bank Withdrawal,314.55,570.51,0
56,0,30,None,Yes,Month-to-Month,Mailed Check,1888.45,1967.65,0
57,0,27,None,No,Month-to-Month,Bank Withdrawal,529.8,1087.62,0
58,3,70,None,Yes,One Year,Bank Withdrawal,7308.95,10067.14,0
59,10,57,Offer B,Yes,One Year,Bank Withdrawal,6252.7,6709.27,0
60,10,58,None,Yes,One Year,Credit Card,2878.55,3933.78,0
61,0,16,None,Yes,Month-to-Month,Bank Withdrawal,1212.1,1623.46,0
62,3,69,Offer A,Yes,Two Year,Bank Withdrawal,8182.85,10840.73,0
63,0,1,Offer E,No,Month-to-Month,Bank Withdrawal,19.85,51.62,1
64,0,1,None,Yes,Month-to-Month,Bank Withdrawal,99.75,140.46,1
65,9,32,Offer C,Yes,One Year,Mailed Check,2861.45,3880.97,0
66,8,16,Offer D,Yes,Month-to-Month,Bank Withdrawal,1442.2,2221.56,0
67,1,49,Offer B,Yes,One Year,Bank Withdrawal,4059.35,5997.3,1
68,2,71,Offer A,Yes,Two Year,Bank Withdrawal,4145.9,4145.9,0
69,0,33,None,Yes,Month-to-Month,Bank Withdrawal,3645.5,5285.27,0
70,9,10,Offer D,No,Month-to-Month,Bank Withdrawal,187.75,683.75,0
71,1,21,None,Yes,Month-to-Month,Bank Withdrawal,2317.1,3198.56,1
72,1,37,None,Yes,Month-to-Month,Bank Withdrawal,1448.8,1448.8,1
73,0,26,None,Yes,Month-to-Month,Credit Card,2193.65,3070.89,0
74,0,50,Offer B,Yes,One Year,Credit Card,1748.9,1748.9,0
75,0,7,None,Yes,Month-to-Month,Bank Withdrawal,511.25,698.56,1
76,1,61,Offer B,Yes,Two Year,Mailed Check,5526.75,8405.34,0
77,0,15,Offer D,Yes,Month-to-Month,Bank Withdrawal,1553.95,2242.75,1
78,0,26,None,Yes,Month-to-Month,Credit Card,1147.0,1147.0,0
79,9,72,None,Yes,Month-to-Month,Bank Withdrawal,6747.35,9139.19,0
80,1,44,None,No,One Year,Bank Withdrawal,865.05,2070.65,0
81,0,66,Offer A,Yes,Month-to-Month,Credit Card,5976.9,9200.36,0
82,0,2,None,Yes,Month-to-Month,Bank Withdrawal,181.65,255.27,1
83,0,44,None,Yes,One Year,Bank Withdrawal,3268.05,3589.82,0
84,0,12,Offer D,Yes,Month-to-Month,Bank Withdrawal,1052.4,1224.96,1
85,1,69,None,Yes,Two Year,Bank Withdrawal,7634.25,8904.54,0
86,0,1,Offer E,Yes,Month-to-Month,Mailed Check,80.2,81.43,1
87,0,3,Offer E,No,Month-to-Month,Credit Card,63.75,141.0,1
88,10,2,None,Yes,Month-to-Month,Bank Withdrawal,190.5,199.8,0
89,0,27,None,Yes,Two Year,Bank Withdrawal,2401.05,2481.24,0
90,0,26,Offer C,No,Month-to-Month,Bank Withdrawal,511.25,858.09,0
91,9,39,None,Yes,Month-to-Month,Bank Withdrawal,3949.15,4735.0,0
92,0,25,None,Yes,Month-to-Month,Bank Withdrawal,2362.1,3234.1,1
93,0,1,Offer E,Yes,Month-to-Month,Mailed Check,70.9,110.71,1
94,1,22,Offer D,Yes,Month-to-Month,Bank Withdrawal,1152.7,1751.98,1
95,0,72,Offer A,Yes,Two Year,Bank Withdrawal,8496.7,11979.34,0
96,0,24,None,No,Two Year,Bank Withdrawal,470.2,725.56,0
97,8,19,None,Yes,Month-to-Month,Bank Withdrawal,1564.4,1713.36,0
98,2,71,None,No,Two Year,Credit Card,1847.55,2500.75,0
99,7,33,None,Yes,One Year,Bank Withdrawal,3694.7,4524.65,0
100,0,3,None,No,Month-to-Month,Credit Card,58.0,66.07,0
101,7,47,None,Yes,Month-to-Month,Bank Withdrawal,4017.45,4068.68,0
102,2,62,None,Yes,Two Year,Credit Card,6825.65,6934.77,0
103,0,71,None,Yes,One Year,Bank Withdrawal,8309.55,8514.03,0
104,8,7,None,Yes,Two Year,Bank Withdrawal,605.45,899.24,0
105,6,27,Offer C,Yes,Month-to-Month,Credit Card,1972.35,3232.17,0
106,0,2,None,No,Month-to-Month,Credit Card,33.7,37.32,0
107,0,25,Offer C,Yes,Two Year,Bank Withdrawal,844.45,844.45,0
108,0,30,None,Yes,One Year,Bank Withdrawal,2111.3,3269.6,0
109,1,58,None,Yes,One Year,Credit Card,6205.5,7188.02,1
110,1,10,Offer D,Yes,Month-to-Month,Bank Withdrawal,855.3,975.5,1
111,0,9,None,Yes,Month-to-Month,Credit Card,633.85,717.28,0
112,1,6,None,Yes,Month-to-Month,Bank Withdrawal,474.9,647.16,1
113,7,69,None,Yes,One Year,Bank Withdrawal,5848.6,8574.08,0
114,0,66,None,Yes,Two Year,Bank Withdrawal,6471.85,7161.55,0
115,0,70,Offer A,Yes,One Year,Credit Card,8127.6,8842.3,1
116,0,25,Offer C,No,One Year,Bank Withdrawal,676.35,815.6,1
117,1,46,Offer B,No,Two Year,Credit Card,864.2,1983.38,0
118,7,54,Offer B,Yes,One Year,Credit Card,6049.5,6665.1,0
119,0,15,None,Yes,Month-to-Month,Bank Withdrawal,1582.75,1918.6,1
120,0,12,Offer D,No,Month-to-Month,Bank Withdrawal,198.1,297.1,0
121,0,22,None,Yes,Month-to-Month,Bank Withdrawal,1098.85,1098.85,0
122,9,70,None,Yes,Two Year,Bank Withdrawal,4039.3,4038.29,0
123,0,30,Offer C,Yes,Month-to-Month,Credit Card,2438.6,3310.5,0
124,1,71,Offer A,Yes,One Year,Bank Withdrawal,7113.75,9108.9,0
125,2,30,None,No,One Year,Credit Card,576.65,870.95,0
126,5,4,Offer E,Yes,Month-to-Month,Bank Withdrawal,371.9,486.98,1
127,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,167.3,195.58,1
128,0,10,None,No,One Year,Bank Withdrawal,219.5,298.1,0
129,0,4,Offer E,Yes,One Year,Bank Withdrawal,273.4,419.0,0
130,0,52,Offer B,Yes,Two Year,Credit Card,2555.05,2555.05,0
131,0,5,None,Yes,Month-to-Month,Bank Withdrawal,223.15,333.2,1
132,1,8,Offer E,No,Two Year,Credit Card,165.5,188.46,0
133,0,2,Offer E,Yes,One Year,Bank Withdrawal,89.3,137.12,0
134,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,235.05,276.21,0
135,0,19,Offer D,Yes,Month-to-Month,Bank Withdrawal,1144.6,1369.75,0
136,0,72,Offer A,Yes,Two Year,Bank Withdrawal,4908.25,5171.77,0
137,2,63,Offer B,Yes,One Year,Bank Withdrawal,2298.9,2298.9,0
138,1,66,None,Yes,Two Year,Bank Withdrawal,3789.2,3789.2,0
139,0,1,None,Yes,Month-to-Month,Bank Withdrawal,75.9,120.46,1
140,0,60,None,Yes,One Year,Bank Withdrawal,4765.0,5682.4,0
141,3,48,None,Yes,One Year,Credit Card,2196.3,2196.3,0
142,0,1,Offer E,Yes,Month-to-Month,Credit Card,85.55,118.89,1
143,0,15,None,Yes,Month-to-Month,Bank Withdrawal,1444.65,2178.6,1
144,4,50,Offer B,Yes,Month-to-Month,Bank Withdrawal,5405.8,7134.3,0
145,10,72,Offer A,Yes,Two Year,Credit Card,6339.3,8769.3,0
146,0,46,None,Yes,Month-to-Month,Credit Card,3847.6,5938.02,0
147,4,72,None,Yes,Two Year,Bank Withdrawal,6733.0,8893.0,0
148,2,1,None,No,Month-to-Month,Credit Card,19.7,53.98,0
149,0,1,None,Yes,Month-to-Month,Bank Withdrawal,50.1,79.23,0
150,0,67,Offer A,Yes,Two Year,Bank Withdrawal,6140.85,6313.04,0
151,5,48,None,Yes,Two Year,Bank Withdrawal,3870.3,4299.42,0
152,0,72,None,Yes,Two Year,Bank Withdrawal,7624.2,10641.72,0
153,6,52,Offer B,Yes,One Year,Credit Card,4354.45,6504.13,0
154,1,67,Offer A,Yes,One Year,Credit Card,3431.75,6574.05,0
155,1,28,Offer C,Yes,Month-to-Month,Bank Withdrawal,2227.1,2698.9,1
156,9,32,Offer C,Yes,Month-to-Month,Bank Withdrawal,2045.55,3110.51,0
157,2,27,None,Yes,Month-to-Month,Bank Withdrawal,1929.35,2118.89,1
158,0,3,None,Yes,Month-to-Month,Bank Withdrawal,268.45,362.89,0
159,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,181.5,262.36,1
160,0,9,None,Yes,Month-to-Month,Credit Card,651.4,970.81,1
161,10,50,Offer B,Yes,Two Year,Credit Card,3486.65,5711.15,0
162,1,71,None,No,Two Year,Bank Withdrawal,1389.6,3592.73,0
163,2,32,Offer C,Yes,Month-to-Month,Bank Withdrawal,2303.35,3818.23,1
164,10,16,Offer D,Yes,Month-to-Month,Bank Withdrawal,1522.7,1959.02,0
165,8,67,Offer A,Yes,Two Year,Bank Withdrawal,6717.9,7909.83,0
166,1,72,None,Yes,Two Year,Credit Card,8058.55,9206.23,0
167,0,3,Offer E,No,Month-to-Month,Bank Withdrawal,58.85,132.74,1
168,1,23,None,No,One Year,Credit Card,538.5,1642.96,0
169,1,72,None,Yes,Two Year,Bank Withdrawal,5102.35,7119.75,0
170,9,7,Offer E,Yes,Month-to-Month,Credit Card,465.7,465.7,0
171,10,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,475.1,487.58,0
172,9,66,Offer A,Yes,Two Year,Bank Withdrawal,3364.55,3474.55,0
173,0,5,Offer E,No,Month-to-Month,Credit Card,113.85,285.15,1
174,0,49,None,Yes,Month-to-Month,Bank Withdrawal,5036.3,7208.47,1
175,2,63,Offer B,No,Two Year,Bank Withdrawal,1234.8,3651.48,0
176,1,12,Offer D,Yes,Month-to-Month,Mailed Check,355.9,355.9,0
177,5,27,None,Yes,Month-to-Month,Credit Card,1510.3,2487.43,0
178,0,35,None,Yes,Month-to-Month,Bank Withdrawal,1982.6,3550.95,0
179,7,54,Offer B,Yes,Month-to-Month,Bank Withdrawal,4524.05,4757.87,0
180,0,1,None,Yes,Month-to-Month,Bank Withdrawal,95.45,101.04,1
181,0,5,Offer E,Yes,Month-to-Month,Credit Card,318.1,387.9,0
182,0,19,None,Yes,One Year,Bank Withdrawal,1231.85,2085.86,0
183,1,52,None,Yes,Two Year,Credit Card,2554.0,2526.99,0
184,8,72,None,Yes,Two Year,Bank Withdrawal,4684.3,4684.3,0
185,0,32,None,No,Two Year,Bank Withdrawal,614.45,1081.84,0
186,1,8,None,Yes,Month-to-Month,Bank Withdrawal,842.9,977.94,1
187,0,41,Offer B,Yes,One Year,Mailed Check,2531.8,4211.35,0
188,0,5,None,No,Month-to-Month,Credit Card,86.05,191.1,0
189,0,11,None,Yes,One Year,Credit Card,402.6,502.6,0
190,0,5,None,Yes,Month-to-Month,Bank Withdrawal,453.4,608.85,1
191,0,16,Offer D,No,One Year,Credit Card,326.65,990.81,0
192,0,71,None,Yes,One Year,Bank Withdrawal,7382.85,7815.95,0
193,0,11,None,Yes,One Year,Credit Card,422.6,422.6,0
194,1,61,None,Yes,Month-to-Month,Bank Withdrawal,6010.05,9019.18,1
195,2,71,None,Yes,One Year,Bank Withdrawal,6046.1,7683.36,0
196,0,9,None,No,Month-to-Month,Credit Card,178.8,545.46,0
197,0,6,None,Yes,Month-to-Month,Bank Withdrawal,314.6,549.56,0
198,0,26,None,Yes,Month-to-Month,Bank Withdrawal,2274.35,3314.69,1
199,0,6,Offer E,Yes,Month-to-Month,Mailed Check,322.9,364.78,0
200,0,11,None,Yes,Month-to-Month,Bank Withdrawal,888.75,1225.02,0
201,1,1,None,Yes,Month-to-Month,Bank Withdrawal,80.55,124.22,1
202,10,49,None,No,Two Year,Bank Withdrawal,973.35,1111.53,0
203,9,3,Offer E,Yes,Month-to-Month,Credit Card,168.6,203.01,0
204,0,53,Offer B,Yes,Two Year,Credit Card,5424.25,7733.46,0
205,1,23,None,Yes,Month-to-Month,Bank Withdrawal,2331.3,3204.15,1
206,0,2,None,Yes,Month-to-Month,Bank Withdrawal,89.5,140.48,1
207,0,1,None,Yes,Month-to-Month,Credit Card,48.55,59.9,1
208,0,3,None,No,Two Year,Credit Card,121.25,222.86,0
209,1,68,None,Yes,Month-to-Month,Bank Withdrawal,6851.65,8302.09,1
210,0,8,None,Yes,Month-to-Month,Bank Withdrawal,740.3,976.22,1
211,9,70,Offer A,Yes,One Year,Bank Withdrawal,6982.5,8228.7,0
212,9,39,Offer C,Yes,One Year,Bank Withdrawal,3835.55,4509.86,0
213,0,1,None,Yes,Month-to-Month,Bank Withdrawal,70.1,87.47,1
214,0,3,None,Yes,Month-to-Month,Bank Withdrawal,315.3,405.84,1
215,8,60,Offer B,Yes,One Year,Bank Withdrawal,6157.6,7310.8,0
216,1,5,Offer E,Yes,Month-to-Month,Bank Withdrawal,330.15,415.55,1
217,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,233.7,261.36,1
218,0,55,None,Yes,One Year,Credit Card,3462.1,5513.47,0
219,0,72,None,Yes,Two Year,Credit Card,4390.25,4390.25,0
220,7,72,Offer A,Yes,Two Year,Bank Withdrawal,5360.75,5880.19,0
221,0,41,None,Yes,Month-to-Month,Bank Withdrawal,4443.45,5001.08,1
222,0,60,Offer B,Yes,Two Year,Bank Withdrawal,2424.5,2386.04,0
223,0,6,None,Yes,Month-to-Month,Bank Withdrawal,577.6,593.2,1
224,6,46,None,Yes,Two Year,Credit Card,4854.3,4946.3,0
225,0,15,None,No,Month-to-Month,Mailed Check,320.45,361.55,0
226,1,58,None,Yes,Month-to-Month,Credit Card,5885.4,6188.98,1
227,10,23,None,No,Two Year,Credit Card,426.65,1209.57,0
228,1,31,Offer C,Yes,Month-to-Month,Bank Withdrawal,2911.3,4397.75,1
229,1,11,Offer D,Yes,Month-to-Month,Bank Withdrawal,521.9,664.35,0
230,0,56,None,Yes,Two Year,Bank Withdrawal,5706.3,6676.78,0
231,0,25,Offer C,No,Month-to-Month,Credit Card,471.7,793.45,0
232,0,68,Offer A,Yes,Two Year,Credit Card,4539.6,4669.6,0
233,0,40,None,No,Two Year,Credit Card,830.25,1871.45,0
234,0,36,None,Yes,Month-to-Month,Bank Withdrawal,3067.2,3954.96,1
235,0,32,Offer C,Yes,Month-to-Month,Credit Card,3432.9,4318.98,1
236,10,71,Offer A,Yes,Two Year,Bank Withdrawal,6263.8,6981.61,0
237,2,17,Offer D,Yes,Month-to-Month,Bank Withdrawal,1742.5,1914.37,0
238,6,18,Offer D,Yes,Month-to-Month,Bank Withdrawal,1468.75,2040.97,0
239,0,37,None,Yes,Month-to-Month,Bank Withdrawal,3382.3,3816.31,0
240,0,2,None,No,Month-to-Month,Credit Card,46.35,135.03,0
241,6,28,Offer C,Yes,One Year,Bank Withdrawal,1992.2,2354.52,0
242,0,9,Offer E,Yes,One Year,Credit Card,373.0,373.0,0
243,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,50.15,138.48,0
244,1,65,None,No,Two Year,Credit Card,1414.45,2939.35,0
245,0,3,None,Yes,Month-to-Month,Bank Withdrawal,122.7,169.47,0
246,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,34.7,34.7,1
247,3,36,Offer C,Yes,Month-to-Month,Bank Withdrawal,3366.05,4837.37,0
248,0,23,None,Yes,Month-to-Month,Bank Withdrawal,1943.2,2828.34,1
249,9,22,Offer D,Yes,Month-to-Month,Credit Card,1271.8,2208.56,0
250,1,72,None,Yes,Two Year,Credit Card,7965.95,8275.39,0
251,7,17,None,Yes,Month-to-Month,Bank Withdrawal,1460.65,1765.12,1
252,0,3,None,Yes,Month-to-Month,Bank Withdrawal,272.2,304.0,1
253,1,58,Offer B,Yes,One Year,Credit Card,3563.8,4562.56,1
254,1,67,None,Yes,Two Year,Credit Card,5398.6,8430.35,0
255,0,34,None,Yes,One Year,Bank Withdrawal,3343.15,4533.15,0
256,0,10,None,No,Month-to-Month,Credit Card,198.7,242.9,0
257,0,69,Offer A,Yes,Two Year,Credit Card,5897.4,7171.83,0
258,0,40,None,Yes,One Year,Credit Card,2511.55,2511.55,0
259,0,20,Offer D,Yes,Month-to-Month,Credit Card,1398.6,1650.6,0
260,9,46,None,No,Two Year,Credit Card,967.85,3152.85,0
261,1,2,None,Yes,Month-to-Month,Bank Withdrawal,139.4,158.98,1
262,1,1,Offer E,Yes,Month-to-Month,Mailed Check,70.45,85.73,1
263,7,72,None,Yes,Two Year,Credit Card,7589.8,8063.56,0
264,0,70,None,No,Two Year,Credit Card,1790.15,1875.55,0
265,0,2,None,No,Month-to-Month,Credit Card,44.4,144.22,0
266,0,23,Offer D,Yes,Month-to-Month,Bank Withdrawal,1284.2,1320.54,0
267,4,36,Offer C,Yes,Month-to-Month,Bank Withdrawal,3474.2,4935.08,0
268,0,59,None,Yes,Month-to-Month,Bank Withdrawal,5574.75,6202.64,1
269,0,67,Offer A,No,Two Year,Bank Withdrawal,1430.95,4600.72,0
270,4,72,None,Yes,Two Year,Bank Withdrawal,7542.25,8152.01,0
271,0,37,None,Yes,Month-to-Month,Bank Withdrawal,3545.35,4434.83,1
272,4,72,Offer A,No,Two Year,Bank Withdrawal,1709.1,3189.42,0
273,10,72,Offer A,No,Two Year,Credit Card,1421.9,3435.74,0
274,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,229.55,264.61,1
275,0,54,Offer B,Yes,One Year,Credit Card,5373.1,7181.56,1
276,1,60,None,Yes,Month-to-Month,Bank Withdrawal,5742.9,7856.1,1
277,8,58,Offer B,Yes,One Year,Credit Card,6526.65,8727.75,0
278,1,31,Offer C,Yes,Month-to-Month,Bank Withdrawal,2674.15,3035.71,0
279,0,3,None,Yes,Month-to-Month,Bank Withdrawal,170.5,300.8,0
280,0,55,None,Yes,Two Year,Bank Withdrawal,3175.85,3851.25,0
281,0,1,Offer E,Yes,Month-to-Month,Credit Card,44.4,70.93,1
282,1,49,Offer B,Yes,Month-to-Month,Credit Card,4297.95,4994.24,0
283,0,8,None,Yes,Month-to-Month,Mailed Check,215.2,215.2,1
284,0,39,None,Yes,Two Year,Bank Withdrawal,4036.0,4427.17,0
285,9,66,Offer A,Yes,Two Year,Credit Card,4428.45,6917.31,0
286,7,15,None,No,One Year,Credit Card,295.95,815.4,0
287,1,51,Offer B,Yes,One Year,Bank Withdrawal,4947.55,7511.27,0
288,0,9,None,Yes,Two Year,Mailed Check,447.9,511.89,0
289,0,1,Offer E,No,Month-to-Month,Credit Card,20.9,36.41,1
290,0,25,Offer C,No,One Year,Bank Withdrawal,516.3,605.8,0
291,9,22,None,Yes,Month-to-Month,Bank Withdrawal,1850.65,2921.61,0
292,0,15,None,Yes,Month-to-Month,Bank Withdrawal,749.25,925.5,0
293,1,28,None,Yes,One Year,Bank Withdrawal,2598.95,3111.63,1
294,0,3,None,Yes,Month-to-Month,Credit Card,237.65,253.82,0
295,3,47,Offer B,Yes,Month-to-Month,Bank Withdrawal,4707.1,6500.15,0
296,0,67,Offer A,Yes,Two Year,Mailed Check,5714.2,6296.46,0
297,0,18,Offer D,Yes,Month-to-Month,Bank Withdrawal,1294.6,1694.22,0
298,1,62,Offer B,Yes,Two Year,Credit Card,3753.2,5842.6,0
299,0,41,None,Yes,One Year,Bank Withdrawal,3263.9,3516.46,0
300,0,44,Offer B,Yes,Month-to-Month,Credit Card,2139.1,2949.58,0
301,0,53,None,Yes,One Year,Credit Card,5042.75,6838.39,0
302,4,48,None,No,Two Year,Credit Card,1036.0,2622.88,0
303,2,54,Offer B,Yes,One Year,Bank Withdrawal,6431.05,8791.39,0
304,3,48,None,Yes,Month-to-Month,Bank Withdrawal,2145.0,2285.0,1
305,0,24,Offer C,Yes,Month-to-Month,Bank Withdrawal,2404.85,3021.17,0
306,0,33,Offer C,Yes,Two Year,Bank Withdrawal,2651.1,3801.15,0
307,1,66,None,Yes,Two Year,Bank Withdrawal,5538.35,8366.45,0
308,3,3,None,Yes,Month-to-Month,Bank Withdrawal,200.2,171.41,0
309,0,13,Offer D,Yes,Two Year,Credit Card,450.4,550.4,0
310,1,63,None,Yes,Two Year,Credit Card,5435.0,6282.35,0
311,0,23,None,Yes,Month-to-Month,Bank Withdrawal,1900.25,2792.88,1
312,0,52,None,No,Two Year,Credit Card,1334.5,2536.74,0
313,0,3,Offer E,No,Month-to-Month,Credit Card,67.1,116.27,0
314,0,10,None,Yes,Month-to-Month,Bank Withdrawal,503.25,836.25,0
315,10,72,None,No,Two Year,Bank Withdrawal,1460.85,2481.09,0
316,0,29,Offer C,Yes,Month-to-Month,Credit Card,2807.1,4204.9,0
317,8,62,Offer B,Yes,One Year,Bank Withdrawal,6312.9,7722.78,0
318,1,41,None,Yes,One Year,Bank Withdrawal,3001.2,3653.51,1
319,0,43,Offer B,Yes,Month-to-Month,Bank Withdrawal,3365.85,5478.44,1
320,0,26,Offer C,Yes,Two Year,Bank Withdrawal,2715.3,2779.78,0
321,9,19,Offer D,Yes,Month-to-Month,Bank Withdrawal,1743.05,1945.97,0
322,8,72,None,No,Two Year,Credit Card,1784.5,5161.94,0
323,0,45,Offer B,Yes,One Year,Bank Withdrawal,4735.35,6270.75,0
324,0,32,None,Yes,One Year,Bank Withdrawal,2010.95,2507.59,0
325,0,41,None,No,Month-to-Month,Bank Withdrawal,996.45,2686.06,0
326,4,65,None,No,Two Year,Credit Card,1715.1,4087.6,0
327,0,55,None,Yes,Month-to-Month,Bank Withdrawal,5238.9,7937.2,1
328,2,11,Offer D,No,Two Year,Credit Card,225.75,674.11,0
329,0,49,Offer B,Yes,Two Year,Bank Withdrawal,3721.9,4089.89,0
330,1,61,None,Yes,Month-to-Month,Bank Withdrawal,5943.65,6867.8,0
331,5,25,None,No,Month-to-Month,Credit Card,477.6,954.85,0
332,0,1,None,Yes,Month-to-Month,Bank Withdrawal,69.5,77.81,1
333,0,23,Offer D,Yes,One Year,Bank Withdrawal,1119.35,1713.9,0
334,0,21,Offer D,Yes,Month-to-Month,Bank Withdrawal,1558.7,2158.04,0
335,0,1,None,Yes,Month-to-Month,Bank Withdrawal,79.7,113.58,1
336,1,5,None,Yes,Month-to-Month,Bank Withdrawal,343.95,397.25,1
337,10,24,Offer C,Yes,One Year,Bank Withdrawal,1712.9,2501.54,0
338,0,27,None,Yes,Month-to-Month,Credit Card,2467.75,2925.13,1
339,7,70,Offer A,No,Two Year,Bank Withdrawal,1397.65,2217.35,0
340,0,5,None,Yes,Month-to-Month,Credit Card,349.65,561.3,1
341,1,46,None,No,Two Year,Credit Card,917.45,3029.77,0
342,5,2,None,Yes,Month-to-Month,Bank Withdrawal,135.75,193.81,0
343,9,57,Offer B,No,Two Year,Bank Withdrawal,1087.7,2607.89,0
344,0,1,Offer E,Yes,Month-to-Month,Mailed Check,71.1,81.29,1
345,3,60,None,Yes,One Year,Credit Card,6029.0,7689.8,0
346,6,37,None,Yes,Two Year,Credit Card,2278.75,2428.28,0
347,0,1,None,Yes,Month-to-Month,Credit Card,70.45,123.32,1
348,8,28,None,Yes,One Year,Bank Withdrawal,2799.0,3015.44,0
349,0,24,None,No,Two Year,Credit Card,459.95,901.31,0
350,0,62,None,Yes,One Year,Bank Withdrawal,5755.8,7222.15,0
351,0,18,Offer D,No,One Year,Bank Withdrawal,390.85,551.95,1
352,0,5,None,Yes,Month-to-Month,Bank Withdrawal,308.25,326.3,1
353,9,20,None,No,Month-to-Month,Credit Card,442.6,1291.8,0
354,0,1,None,Yes,Month-to-Month,Mailed Check,70.75,96.75,1
355,0,35,None,Yes,One Year,Bank Withdrawal,3626.1,5020.5,1
